,InteractorA,InteractorB
0,YWHAG,SON
1,YWHAB,SON
3,SIRT7,SON
4,TCF3,SON
5,SF3B1,SON
6,ILF3,SON
7,PRPF6,SON
8,ILF2,SON
9,PRPF3,SON
10,DDX21,SON
11,USP39,SON
12,SAFB,SON
13,NONO,SON
14,DHX9,SON
15,NHP2L1,SON
16,NFIA,SON
17,PRPF19,SON
18,NXF1,SON
19,SF3B6,SON
20,SFPQ,SON
21,PUF60,SON
22,S100A9,SON
23,SON,U2AF1
24,BUD31,SON
25,HNRNPM,SON
26,HP1BP3,SON
27,SON,SRRM2
28,PSIP1,SON
29,PPP1CA,SON
30,CDC5L,SON
31,SEPT2,SON
32,CHCHD4,SON
33,SON,USP25
34,SON,TFPI
35,SRSF7,SON
36,HSPA8,SON
37,SRSF5,SON
38,SRSF11,SON
39,SMARCB1,SON
40,DIDO1,SON
41,ACIN1,SON
42,SON,TRIM26
43,RAN,SON
44,SEPT7,SON
45,NDUFAF2,SON
46,PHGDH,SON
47,MAGOH,SON
48,EIF4A3,SON
49,VCP,SON
50,PRPF40A,SON
51,HDAC11,SON
52,VHL,SON
53,SRPK2,SON
54,SRPK1,SON
55,CLK2,SON
56,SRPK3,SON
57,FAM96B,SON
58,CUL7,SON
59,OBSL1,SON
60,EZH2,SON
61,SUZ12,SON
62,EED,SON
63,RNF2,SON
64,BMI1,SON
65,RBM4B,SON
66,SAMD7,SON
67,FBXW11,SON
68,RBM17,SON
69,RBM39,SON
70,IFI16,SON
71,GAG,SON
73,KIFAP3,SON
74,U2AF2,SON
75,ATOH1,SON
76,C11ORF30,SON
77,UBE2A,SON
78,PEA15,SON
79,FBXO7,SON
80,HBP1,SON
81,EFTUD2,SON
82,FGF11,SON
83,ESR2,SON
84,DCPS,SON
85,MYC,SON
86,KIAA1429,SON
87,RC3H2,SON
88,ACTC1,SON
89,PHB,SON
90,RBX1,SON
91,NR2C2,SON
92,PPP1CC,SON
93,PRDM16,SON
94,MECOM,SON
95,HIST1H4A,SON
96,SNRNP70,SON
97,TRIM28,SON
98,EP300,SON
99,SON,MAGEA6
100,PINK1,SON
101,FANCD2,SON
102,ZC3H18,SON
103,SNIP1,SON
104,ESR1,SON
105,UBR5,SON
106,CLIP4,SON
107,CIT,SON
108,CHMP4B,SON
109,ECT2,SON
110,KIF14,SON
111,KIF20A,SON
112,KIF23,SON
113,PRC1,SON
114,BRD3,SON
115,CHCHD1,SON
116,MKI67,SON
117,CIC,SON
118,BRD4,SON
120,VPR,SON
121,MKRN1,SON
122,MKRN3,SON
123,RBBP6,SON
124,DHX8,SON
125,NUP50,SON
126,NAA40,SON
127,ZBTB2,SON
128,JMJD6,SON
129,SRSF6,SON
131,SAP18,SON
132,SRSF4,SON
133,HSD17B14,SON
134,ZCCHC10,SON
138,SRSF1,SON
140,RNPS1,SON
141,RPL13,SON
142,SLFN11,SON
143,NSP10,SON
144,NSP11,SON
145,NSP15,SON
146,NSP16,SON
147,NSP5,SON
148,NSP7,SON
149,NSP8,SON
150,NSP9,SON
151,ORF6,SON
152,ORF8,SON
153,CCNF,SON
